horizon,year,annual_day,annual_night,Jan_day,Jan_night,Feb_day,Feb_night,Mar_day,Mar_night,Apr_day,Apr_night,May_day,May_night,Jun_day,Jun_night,Jul_day,Jul_night,Aug_day,Aug_night,Sep_day,Sep_night,Oct_day,Oct_night,Nov_day,Nov_night,Dec_day,Dec_night
now,2026,13.26,8.65,3.76,2.24,4.83,2.58,7.32,4.42,10.47,7.67,14.2,11.16,19.13,15.87,20.99,18.48,21.5,18.47,17.74,14.23,13.1,10.49,8.06,5.93,5.77,2.93
+10y,2036,13.4,8.99,4.81,3.48,5.12,2.69,7.45,4.73,10.71,8.0,14.47,11.44,18.7,15.79,20.82,18.53,21.79,18.86,17.82,14.44,12.65,10.28,8.3,6.28,6.39,3.57
+20y,2046,13.54,9.33,5.87,4.72,5.41,2.8,7.59,5.04,10.95,8.33,14.75,11.71,18.27,15.72,20.64,18.59,22.08,19.25,17.91,14.65,12.21,10.08,8.53,6.63,7.02,4.21
+30y,2056,13.69,9.67,6.92,5.95,5.7,2.9,7.73,5.36,11.18,8.66,15.02,11.99,17.84,15.65,20.47,18.64,22.36,19.64,17.99,14.86,11.76,9.88,8.77,6.98,7.64,4.85
+40y,2066,13.83,10.01,7.97,7.19,5.98,3.01,7.87,5.67,11.42,8.99,15.3,12.26,17.41,15.57,20.3,18.7,22.65,20.04,18.07,15.07,11.31,9.68,9.0,7.33,8.27,5.49
+50y,2076,13.97,10.35,9.02,8.43,6.27,3.12,8.01,5.99,11.65,9.32,15.57,12.53,16.98,15.5,20.13,18.75,22.93,20.43,18.16,15.28,10.86,9.48,9.24,7.68,8.89,6.13
